Tiempo,NúmeroJoints,G_parcial
8.350000,4.000000,360.000000
8.360000,4.000000,295.681071
8.370000,4.000000,320.253619
8.380000,4.000000,360.000000
8.390000,4.000000,360.000000
8.400000,4.000000,359.901174
8.410000,4.000000,300.480965
8.420000,4.000000,360.000000
8.430000,4.000000,360.000000
8.440000,4.000000,291.508056
8.450000,4.000000,359.836998
8.460000,4.000000,360.000000
8.470000,4.000000,331.947869
8.480000,4.000000,360.000000
8.490000,4.000000,359.931778
8.500000,4.000000,285.645277
8.510000,4.000000,346.884737
8.520000,4.000000,360.000000
8.530000,4.000000,312.095118
8.540000,4.000000,360.000000
8.550000,4.000000,360.000000
8.560000,4.000000,355.614285
8.570000,4.000000,360.000000
8.580000,4.000000,289.307775
8.590000,4.000000,335.086718
8.600000,4.000000,360.000000
8.610000,4.000000,280.087156
8.620000,4.000000,272.652784
8.630000,4.000000,309.022350
8.640000,4.000000,310.800129
8.650000,4.000000,360.000000
8.660000,4.000000,360.000000
8.670000,4.000000,325.845222
8.680000,4.000000,359.867023
8.690000,4.000000,360.000000
8.700000,4.000000,328.581072
8.710000,4.000000,333.130532
8.720000,4.000000,360.000000
8.730000,4.000000,299.535486
8.740000,4.000000,360.000000
8.750000,4.000000,360.000000
8.760000,4.000000,281.525059
8.770000,4.000000,334.721301
8.780000,4.000000,360.000000
8.790000,4.000000,360.000000
8.800000,4.000000,360.000000
8.810000,4.000000,360.000000
8.820000,4.000000,360.000000
8.830000,4.000000,295.586758
8.840000,4.000000,317.371490
8.850000,4.000000,359.981315
8.860000,4.000000,360.000000
8.870000,4.000000,359.885095
8.880000,4.000000,303.702800
8.890000,4.000000,343.203606
8.900000,4.000000,341.139785
8.910000,4.000000,336.606300
8.920000,4.000000,360.000000
8.930000,4.000000,273.204967
8.940000,4.000000,308.216052
8.950000,4.000000,319.033201
8.960000,4.000000,360.000000
8.970000,4.000000,360.000000
8.980000,4.000000,359.959664
8.990000,4.000000,315.524817
9.000000,4.000000,359.925256
9.010000,4.000000,360.000000
9.020000,4.000000,358.728434
9.030000,4.000000,359.922897
9.040000,4.000000,360.000000
9.050000,4.000000,294.438260
9.060000,4.000000,314.336065
9.070000,4.000000,360.000000
9.080000,4.000000,305.750494
9.090000,4.000000,339.972655
9.100000,4.000000,360.000000
9.110000,4.000000,303.026902
9.120000,4.000000,360.000000
9.130000,4.000000,360.000000
9.140000,4.000000,310.728101
9.150000,4.000000,360.000000
9.160000,4.000000,360.000000
9.170000,4.000000,324.041186
9.180000,4.000000,360.000000
9.190000,4.000000,360.000000
9.200000,4.000000,360.000000
9.210000,4.000000,360.000000
